2009:01:16:08:36:42	11.72021
2009:01:16:08:36:42	20.19786
2009:01:16:08:36:42	36.62185
2009:01:16:08:36:44	91.05775
2009:01:16:08:36:44	93.88544
2009:01:16:08:36:44	113.78075
2009:01:16:08:36:44	115.87503
2009:01:16:08:36:45	116.43500
2009:01:16:08:36:45	127.72476
2009:01:16:08:36:45	137.37135
2009:01:16:08:36:45	139.49912
2009:01:16:08:36:46	143.30467
2009:01:16:08:36:46	152.05508
2009:01:16:08:36:46	152.62436
2009:01:16:08:36:46	166.05854
2009:01:16:08:36:47	173.28048
2009:01:16:08:36:47	176.40040
2009:01:16:08:36:47	179.59432
2009:01:16:08:36:48	195.19854
2009:01:16:08:36:48	230.83471
2009:01:16:08:36:48	251.31670
2009:01:16:08:36:48	272.10260
2009:01:16:08:36:49	282.72511
2009:01:16:08:36:49	290.36568
2009:01:16:08:36:49	290.49688
2009:01:16:08:36:49	291.21151
2009:01:16:08:36:50	306.04803
2009:01:16:08:36:50	311.86730
2009:01:16:08:36:50	322.81581
2009:01:16:08:36:50	324.15724
2009:01:16:08:36:51	327.00524
2009:01:16:08:36:51	328.83555
2009:01:16:08:36:51	331.36795
2009:01:16:08:36:51	331.89775
2009:01:16:08:36:52	334.02484
2009:01:16:08:36:52	340.16761
2009:01:16:08:36:52	350.77739
2009:01:16:08:36:52	375.95749
2009:01:16:08:36:53	406.53668
2009:01:16:08:36:53	425.03234
2009:01:16:08:36:53	425.48058
2009:01:16:08:36:53	455.95456
2009:01:16:08:36:54	459.69235
2009:01:16:08:36:54	505.56804
2009:01:16:08:36:54	530.98289
2009:01:16:08:36:54	575.46085
2009:01:16:08:36:55	586.25371
2009:01:16:08:36:55	589.28091
2009:01:16:08:36:55	593.46417
2009:01:16:08:36:55	602.50219
2009:01:16:08:36:56	656.44588
2009:01:16:08:36:56	657.12405
2009:01:16:08:36:56	657.89427
2009:01:16:08:36:56	658.91289
2009:01:16:08:36:57	663.38054
2009:01:16:08:36:57	674.52464
2009:01:16:08:36:57	685.52763
2009:01:16:08:36:57	687.86201
2009:01:16:08:36:58	688.11429
2009:01:16:08:36:58	689.78172
2009:01:16:08:36:58	691.91075
2009:01:16:08:36:58	704.40473
2009:01:16:08:36:59	715.00497
2009:01:16:08:36:59	737.32089
2009:01:16:08:36:59	759.70697
2009:01:16:08:36:59	767.50966
2009:01:16:08:37:00	769.42364
2009:01:16:08:37:00	777.42673
2009:01:16:08:37:00	791.84497
2009:01:16:08:37:00	792.24452
2009:01:16:08:37:01	807.59583
2009:01:16:08:37:01	808.17969
2009:01:16:08:37:01	811.22220
2009:01:16:08:37:01	819.08659
2009:01:16:08:37:02	832.63677
2009:01:16:08:37:02	841.46987
2009:01:16:08:37:02	841.51163
2009:01:16:08:37:02	845.93330
2009:01:16:08:37:03	863.18626
2009:01:16:08:37:03	874.41917
2009:01:16:08:37:03	883.20869
2009:01:16:08:37:03	885.88121
2009:01:16:08:37:04	895.34613
2009:01:16:08:37:04	903.46562
2009:01:16:08:37:04	906.82050
2009:01:16:08:37:04	907.53710
2009:01:16:08:37:05	926.57710
2009:01:16:08:37:05	929.80104
2009:01:16:08:37:05	937.05514
2009:01:16:08:37:05	940.50012
2009:01:16:08:37:06	960.04148
2009:01:16:08:37:06	962.83693
2009:01:16:08:37:06	966.26248
2009:01:16:08:37:06	985.06502
2009:01:16:08:37:07	986.60967
2009:01:16:08:37:07	991.55625
