2009:16:20:36:42	-017.75074	00223.62879
2009:16:20:36:42	-017.73823	00373.54072
2009:16:20:36:42	-017.67177	00556.47121
2009:16:20:36:43	-017.65794	00920.28550
2009:16:20:36:43	-017.56496	01306.68899
2009:16:20:36:43	-017.50547	01413.87784
2009:16:20:36:43	-017.45388	01779.17682
2009:16:20:36:44	-017.43048	01919.52121
2009:16:20:36:44	-017.42905	02334.03353
2009:16:20:36:44	-017.32685	02925.76837
2009:16:20:36:44	-017.26963	03926.16632
2009:16:20:36:45	-017.25793	04255.23734
2009:16:20:36:45	-016.92694	04376.21971
2009:16:20:36:45	-016.91994	04423.53635
2009:16:20:36:45	-016.90613	04572.02271
2009:16:20:36:46	-016.85007	04652.07169
2009:16:20:36:46	-016.74306	04720.91609
2009:16:20:36:46	-016.72036	04803.84863
2009:16:20:36:46	-016.59831	04811.26246
2009:16:20:36:47	-016.29128	04949.56926
2009:16:20:36:47	-016.09345	05180.08215
2009:16:20:36:47	-015.83657	05284.61269
2009:16:20:36:48	-015.74205	05484.89560
2009:16:20:36:48	-015.72525	06327.71437
2009:16:20:36:48	-015.66602	06675.92243
2009:16:20:36:48	-015.57380	06825.31858
2009:16:20:36:49	-015.52822	07283.83831
2009:16:20:36:49	-015.22787	07337.71134
2009:16:20:36:49	-015.16743	07347.40123
2009:16:20:36:49	-014.98146	07358.90243
2009:16:20:36:50	-014.92179	07436.80078
2009:16:20:36:50	-014.87801	08101.89596
2009:16:20:36:50	-014.84435	08377.23983
2009:16:20:36:50	-014.73154	08631.16228
2009:16:20:36:51	-014.68522	08897.30153
2009:16:20:36:51	-014.34609	08921.57932
2009:16:20:36:51	-014.34052	09291.63813
2009:16:20:36:51	-014.23964	09883.76225
2009:16:20:36:52	-014.15618	10195.26377
2009:16:20:36:52	-014.10891	11137.26596
2009:16:20:36:52	-014.09622	11183.37051
2009:16:20:36:52	-013.92267	11995.54227
2009:16:20:36:53	-013.79190	12715.26287
2009:16:20:36:53	-013.78157	12898.09915
2009:16:20:36:53	-013.68213	13881.95733
2009:16:20:36:53	-013.58896	14316.46776
2009:16:20:36:54	-013.39645	14336.45427
2009:16:20:36:54	-013.27822	14398.36271
2009:16:20:36:54	-013.11471	14533.82802
2009:16:20:36:54	-012.75984	14693.47955
2009:16:20:36:55	-012.75632	14766.44344
2009:16:20:36:55	-012.69978	15308.06929
2009:16:20:36:55	-012.68362	15502.39722
2009:16:20:36:55	-012.62348	15737.67813
2009:16:20:36:56	-012.46087	15784.41408
2009:16:20:36:56	-012.37238	16063.17886
2009:16:20:36:56	-012.23227	16173.10004
2009:16:20:36:56	-012.13109	16382.71663
2009:16:20:36:57	-011.80854	16863.50365
2009:16:20:36:57	-011.65353	17267.97638
2009:16:20:36:57	-011.28879	18004.19857
2009:16:20:36:57	-011.17100	18059.97498
2009:16:20:36:58	-011.15670	18289.49945
2009:16:20:36:58	-011.12129	18958.83879
2009:16:20:36:58	-010.78904	19375.20234
2009:16:20:36:58	-010.78548	20925.07463
2009:16:20:36:59	-010.78433	21342.65877
2009:16:20:36:59	-010.74461	21547.63787
2009:16:20:36:59	-010.59299	22179.70656
2009:16:20:36:59	-010.47517	22307.66937
2009:16:20:37:00	-010.34068	22721.92496
2009:16:20:37:00	-010.27682	22855.37544
2009:16:20:37:00	-010.24821	23246.65676
2009:16:20:37:00	-010.24319	23281.60198
2009:16:20:37:01	-010.07468	23326.12951
2009:16:20:37:01	-010.07018	23466.62997
2009:16:20:37:01	-010.02429	23581.36324
2009:16:20:37:01	-009.99400	23681.34551
2009:16:20:37:02	-009.69587	23823.99979
2009:16:20:37:02	-009.69219	23975.38865
2009:16:20:37:02	-009.66179	24039.01552
2009:16:20:37:02	-009.63994	24244.85054
2009:16:20:37:03	-009.52843	24983.64225
2009:16:20:37:03	-009.51182	26682.62007
2009:16:20:37:03	-009.31632	27207.73607
2009:16:20:37:03	-009.18619	27248.09694
2009:16:20:37:04	-009.04650	27509.16912
2009:16:20:37:04	-009.03386	27792.72288
2009:16:20:37:04	-008.66834	28210.62906
2009:16:20:37:04	-008.58181	28247.04665
2009:16:20:37:05	-008.54611	28357.60471
2009:16:20:37:05	-008.38619	28498.46092
2009:16:20:37:05	-008.25398	28648.71381
2009:16:20:37:05	-008.19827	29101.13586
2009:16:20:37:06	-007.53788	29282.36088
2009:16:20:37:06	-007.51670	29367.35268
2009:16:20:37:06	-007.37105	29820.18016
2009:16:20:37:06	-007.27535	30010.93068
2009:16:20:37:07	-007.06115	30167.38039
2009:16:20:37:07	-006.82052	30307.47553
